Model,Scenario,Region,Variable,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090
AIM/CGE 2.1,NPi,World,Coal Slope,1.1478,2.4996,0.8767,0.953,1.1833,2.4487,2.9783,2.9413,2.9393,3.2411
AIM/CGE 2.1,NPi2020_1000,World,Coal Slope,1.128,2.0769,-9.6456,-1.7424,2.2347,0.1685,0.3925,1.0836,0.9391,0.6598
AIM/CGE 2.1,NPi2020_400,World,Coal Slope,1.13,2.0767,-10.1102,-1.6913,-0.4703,-0.1738,0.3038,-0.348,-0.1049,-0.4729
MESSAGEix-GLOBIOM 1.0,NPi,World,Coal Slope,3.6598,-1.6723,1.8089,0.9291,2.4075,4.3215,4.7223,4.7798,4.9065,1.7219
MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal Slope,3.6598,-1.6723,-6.6207,-1.5807,1.6383,3.0034,2.4349,-0.0932,-4.1774,-3.9181
MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal Slope,3.6598,-1.6723,-7.8416,-0.7025,1.1715,-0.7311,-3.1617,-0.7162,-0.2856,-0.0013
WITCH-GLOBIOM 4.4,NPi,World,Coal Slope,1.1654,0.938,4.4101,3.5985,2.5133,1.3077,1.4594,0.3373,-0.6807,-0.5771
WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal Slope,1.1654,0.938,-8.1991,0.0465,-0.4148,-0.3668,-0.2945,-0.1076,-0.1357,-0.0608
WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal Slope,1.1654,0.938,-8.8688,0.1009,-0.3726,-0.1641,-0.1338,-0.0684,-0.0443,0
IMAGE 3.0.1,NPi2020_1000,World,Coal Slope,5.6982,2.1393,-4.7276,-5.3098,-2.0411,0.2707,1.288,2.538,1.2534,0.6904
IMAGE 3.0.1,NPi2020_400,World,Coal Slope,5.7124,1.5835,-6.6509,-5.1472,-0.6407,-0.7004,0.9181,2.3348,2.1407,1.567
IMAGE 3.0.1,NPi,World,Coal Slope,5.6982,2.5043,2.9316,2.0094,2.2816,1.6374,2.6832,4.2292,5.5712,6.7689
REMIND-MAgPIE 1.7-3.0,NPi,World,Coal Slope,0.0008,0.5365,1.6534,4.1928,7.3001,8.9481,5.8857,4.5458,-0.3532,-1.6624
REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal Slope,0.0008,0.5365,-9.053,-3.5377,0.059,-0.1052,-0.2367,-0.2144,-0.1757,-0.058
REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal Slope,0.0008,0.5365,-9.4599,-3.6455,-0.0664,-0.1066,-0.089,-0.0499,-0.0292,-0.0181
AIM/CGE 2.1,NPi,World,Gas Slope,2.0806,2.7845,2.5513,2.0585,1.9123,1.9228,1.1984,0.7877,0.3858,1.7513
AIM/CGE 2.1,NPi2020_1000,World,Gas Slope,2.0694,2.6477,-0.8734,-2.2977,2.8004,-0.2554,0.2758,0.949,0.5601,0.0072
AIM/CGE 2.1,NPi2020_400,World,Gas Slope,2.0704,2.6478,-1.4269,-3.2196,-0.0475,-0.0845,0.8663,-0.4997,0.0242,-1.1683
MESSAGEix-GLOBIOM 1.0,NPi,World,Gas Slope,1.0762,2.0947,2.6048,4.6739,4.5012,4.4401,2.2364,1.3172,0.6511,2.5948
MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas Slope,1.0762,2.0947,3.4135,4.1969,0.5541,0.5996,-2.9954,-3.9347,-4.1508,-3.2538
MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas Slope,1.0762,2.0947,1.9877,3.0697,-1.8714,-3.7154,-3.828,-3.1671,-1.1153,-0.3271
WITCH-GLOBIOM 4.4,NPi,World,Gas Slope,3.9772,1.6212,3.8639,2.9202,2.6964,2.6856,2.2896,1.6626,0.9824,0.1352
WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas Slope,3.9772,1.6212,-5.2971,-0.9746,-0.5067,0.2923,0.2592,-0.6264,-0.1709,0.1209
WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas Slope,3.9772,1.6212,-7.5089,-1.6525,-0.5229,0.1852,-0.3467,-0.0736,0.0922,-0.142
IMAGE 3.0.1,NPi2020_1000,World,Gas Slope,2.2028,3.7252,-0.9197,-0.7114,-0.8826,-1.8484,1.1061,0.7606,-1.6083,-1.2148
IMAGE 3.0.1,NPi2020_400,World,Gas Slope,2.3242,3.8758,-2.2979,1.7696,-2.1785,-0.8314,0.4836,0.6056,-0.1702,-1.6931
IMAGE 3.0.1,NPi,World,Gas Slope,2.2028,3.6756,3.7536,3.4621,1.5147,1.3217,0.7423,0.734,-1.4698,-3.0642
REMIND-MAgPIE 1.7-3.0,NPi,World,Gas Slope,3.241,4.7061,3.8098,3.5972,0.8335,-0.6486,-1.0098,0.5173,-0.2789,0.9336
REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas Slope,3.241,4.7061,0.3825,-2.6592,-2.5002,-0.9634,-0.4865,-0.2504,-0.8526,-0.4461
REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas Slope,3.241,4.7061,-2.5569,-4.4985,-2.423,-0.987,-0.347,0.3098,0.0799,-0.2697
AIM/CGE 2.1,NPi,World,Oil Slope,3.495,2.8298,2.8969,2.9378,1.2443,0.4812,0.2549,0.096,0.646,-2.7723
AIM/CGE 2.1,NPi2020_1000,World,Oil Slope,3.484,2.5385,-1.3908,-3.1053,2.5741,-1.2466,-0.2057,1.2535,0.3103,-0.3419
AIM/CGE 2.1,NPi2020_400,World,Oil Slope,3.4836,2.5386,-2.206,-4.8979,-5.8036,-0.7869,0.8845,-0.8411,-0.2104,-1.1799
MESSAGEix-GLOBIOM 1.0,NPi,World,Oil Slope,0.634,3.0558,2.7345,1.1987,1.312,-3.2684,-0.7098,1.351,3.1316,2.7309
MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil Slope,0.634,3.0558,2.1599,-4.1734,-4.82,-6.2748,-3.6276,-2.6555,-0.8047,-0.1833
MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil Slope,0.634,3.0558,-4.2962,-6.5837,-5.0207,-3.0369,-1.0385,-0.3404,-0.0935,-0.0023
WITCH-GLOBIOM 4.4,NPi,World,Oil Slope,3.874,3.6817,4.2584,3.1704,2.6941,3.0557,2.1961,2.2287,1.3009,-3.5187
WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil Slope,3.874,3.6817,-2.7116,-2.2134,-2.3098,-3.7314,-1.7666,-2.5498,-1.6834,0.5985
WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil Slope,3.874,3.6817,-7.5291,-5.7825,-3.4854,-1.7009,0.2762,-0.5495,-0.8402,0.6753
IMAGE 3.0.1,NPi2020_1000,World,Oil Slope,-0.6894,-0.9189,-4.0363,-3.9515,-1.1881,-0.3043,-1.9418,-1.3904,-0.4974,-0.107
IMAGE 3.0.1,NPi2020_400,World,Oil Slope,-0.6038,-0.8551,-4.8644,-3.8468,-3.1582,-1.2322,-0.6327,-0.2352,0.0061,0.0213
IMAGE 3.0.1,NPi,World,Oil Slope,-0.6894,-0.923,-1.5946,-0.0667,1.9184,1.7657,1.4747,-0.3632,-0.4608,-0.7718
REMIND-MAgPIE 1.7-3.0,NPi,World,Oil Slope,1.515,2.7123,2.5144,1.4493,-2.3247,-4.8931,-4.3407,-2.6369,-0.8827,0.2645
REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil Slope,1.515,2.7123,2.1312,-0.0528,-3.0279,-4.3619,-3.4217,-2.19,-1.0374,-0.5554
REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil Slope,1.515,2.7123,0.7511,-1.9043,-4.1644,-4.8194,-3.0061,-1.4685,-0.6131,-0.2069